gene,mis_z,lof_z,syn_z,oe_mis,oe_lof,label
SENP6,0.99897,6.4239,0.042279,0.88193,0.11427,0.99998
CSNK1A1,4.3022,4.1547,0.30188,0.14097,0.045337,0.99758
WDR48,2.8,5.4855,-0.79077,0.58509,0.093748,0.99985
GCLM,1.3564,3.4507,1.1884,0.65807,0.0,0.99011
RPS8,2.4175,3.4482,-0.55929,0.39519,0.0,0.99003
FAF2,2.5229,4.6608,0.39017,0.55804,0.068586,0.99911
HS6ST3,1.191,3.4476,1.1721,0.79261,0.0,0.99001
RBM4,1.9762,3.4489,-0.40504,0.64736,0.0,0.99005
CSNK1G1,1.9906,4.659,0.22405,0.63635,0.068633,0.99911
ACACA,7.2382,9.1472,1.8535,0.4361,0.14874,1.0
COL11A1,1.0245,8.6142,-1.2633,0.90855,0.14411,1.0
U2AF1,3.8478,3.4439,0.71348,0.19018,0.0,0.9899
ATP7A,1.5302,5.468,1.9983,0.8162,0.094246,0.99983
TPX2,0.49021,5.4464,0.3017,0.92942,0.094866,0.99981
NUMA1,0.88132,8.2087,0.14121,0.92856,0.14104,1.0
NR2F2,3.5964,3.4378,-2.384,0.33801,0.0,0.98972
TCF4,4.1035,5.4433,0.2761,0.43992,0.094955,0.99981
HTATSF1,1.9835,4.1353,-0.3031,0.65934,0.045727,0.9974
TRAF6,2.7157,4.1339,0.44709,0.55336,0.045755,0.99739
RSRC2,1.9912,4.6433,-2.1088,0.63342,0.069037,0.99905
SNRPA1,1.871,3.4416,-0.67664,0.54937,0.0,0.98984
SNW1,2.8522,5.0786,1.4004,0.54444,0.083834,0.99961
NXN,2.178,4.1201,0.92185,0.61419,0.046035,0.99725
CCT4,1.0086,4.6388,-1.4539,0.8328,0.069155,0.99903
SAMD4A,1.8422,5.0596,-0.41965,0.74574,0.084368,0.99958
ZMIZ2,1.9188,5.4398,0.98924,0.77404,0.095055,0.99981
ANP32A,2.5283,3.4343,0.038456,0.39302,0.0,0.98961
GPM6A,1.9639,3.4346,0.0028396,0.56117,0.0,0.98962
ITCH,3.5832,6.3637,-1.0323,0.54218,0.11599,0.99997
XRCC6,3.0983,4.6403,0.41873,0.52136,0.069115,0.99904
AGO4,3.7941,5.7673,1.639,0.51982,0.1037,0.9999
DDX39B,4.5644,4.1194,1.3794,0.20872,0.046048,0.99725
ZNF536,2.4037,5.062,0.039972,0.76439,0.084301,0.99958
HNRNPA2B1,3.0018,4.1268,-5.3656,0.39048,0.045898,0.99732
EWSR1,2.5227,5.436,-1.4918,0.64395,0.095166,0.99981
NUMBL,3.0296,4.6361,0.74944,0.56498,0.069224,0.99902
STRBP,3.4769,5.0617,1.3312,0.4859,0.084308,0.99958
CPEB1,2.0987,4.6293,-0.32545,0.65646,0.0694,0.99899
SUV39H1,3.4884,3.433,0.6424,0.31578,0.0,0.98957
FOXP2,1.8963,6.0623,-0.98579,0.72626,0.11083,0.99994
RXRB,3.4196,4.1135,2.5053,0.43878,0.04617,0.99719
SP2,2.3682,4.1151,-0.71527,0.65645,0.046137,0.99721
AQR,3.5509,7.3422,0.0090424,0.64444,0.13201,1.0
SEMA3F,2.4689,5.7472,0.60813,0.70404,0.10429,0.99989
SMG7,2.1934,6.6005,0.53108,0.75205,0.12165,0.99998
SRP54,3.4521,4.6196,0.084615,0.40822,0.069654,0.99895
KDM3A,1.6494,6.8631,-2.1578,0.82398,0.12548,0.99999
FRS2,1.1311,4.116,0.79798,0.81316,0.046119,0.99721
BRD2,0.59311,5.0532,-4.4499,0.92154,0.084546,0.99957
ADAMTS6,3.088,6.5861,0.063669,0.65046,0.12207,0.99998
GIT1,3.0601,5.4079,0.65835,0.60829,0.095984,0.99978
ATP13A3,3.0145,6.5852,-0.13621,0.67038,0.12209,0.99998
RAB2A,2.9884,3.4188,0.85577,0.21117,0.0,0.98913
ASAP2,2.3661,6.3217,0.43703,0.72608,0.11721,0.99996
PRKAR2B,2.4727,4.1073,-0.19373,0.53662,0.046297,0.99713
SMARCB1,3.6016,4.1046,-0.34629,0.32664,0.046352,0.9971
STAT5B,3.9952,5.7345,0.98374,0.47041,0.10466,0.99988
HAUS7,0.37552,3.4188,-0.60937,0.9143,0.0,0.98913
SYCP1,1.3797,6.3323,-0.36747,0.80789,0.1169,0.99997
YTHDF3,2.6603,4.0991,-0.35281,0.57637,0.046466,0.99704
ARHGAP44,2.3899,5.7277,-1.5128,0.68407,0.10486,0.99988
MAP2K4,3.2309,4.1035,0.087142,0.35611,0.046375,0.99709
WDR1,1.9345,4.611,-2.4483,0.72122,0.06988,0.99892
NR2C2,3.1793,4.6123,-0.52268,0.53248,0.069846,0.99892
ARHGAP23,1.9852,5.7392,2.5859,0.78536,0.10452,0.99988
SEMA6A,0.74673,5.3887,-1.2346,0.9138,0.096546,0.99976
BCL3,2.2716,3.406,2.8184,0.58848,0.0,0.98871
MGAT1,1.5095,3.4086,-1.5274,0.75639,0.0,0.98879
SOCS6,0.85379,3.4042,-0.36955,0.86701,0.0,0.98865
AFF3,1.7128,6.2985,0.22773,0.82257,0.1179,0.99996
FNDC3A,1.5293,6.5775,0.47286,0.82928,0.12232,0.99998
DPYSL3,2.4778,4.6013,0.73381,0.65675,0.070136,0.99887
ITSN1,3.6138,8.3002,0.3414,0.67159,0.14559,1.0
NOL4,2.2671,5.0151,-1.2781,0.66434,0.085634,0.99949
PROX1,3.5221,4.5943,0.93132,0.52812,0.070323,0.99884
CAMKV,3.3196,4.0915,0.64382,0.46528,0.046623,0.99696
ZBTB38,2.3068,5.0166,1.5245,0.74749,0.085589,0.99949
UBQLN1,2.3881,4.5951,-0.43598,0.62007,0.070301,0.99884
ATXN7L1,2.2981,4.5934,1.4367,0.70398,0.070348,0.99884
LYN,3.3381,4.599,-1.155,0.443,0.070197,0.99886
SMAD4,4.1308,4.5877,0.57912,0.34242,0.070498,0.99881
BRWD1,2.8458,8.4553,-0.95017,0.76665,0.14816,1.0
ELAVL1,3.807,3.3995,0.44391,0.28002,0.0,0.98849
SF3B2,3.6833,5.9988,-0.41134,0.54956,0.11272,0.99992
CLCN3,4.3745,5.3702,1.47,0.43624,0.097095,0.99973
SLIT1,3.0887,7.2604,2.0072,0.71677,0.13429,0.99999
TUBB2B,5.1195,3.3967,1.5326,0.11357,0.0,0.9884
PHF19,3.3478,5.0044,0.98135,0.48879,0.085941,0.99946
FAM135B,0.9655,6.2957,-0.80242,0.90225,0.11798,0.99996
FCHO2,2.0226,5.3704,1.4086,0.69953,0.097089,0.99973
PRDM2,1.0836,6.2901,-2.062,0.90046,0.11814,0.99996
DNAJC6,1.6003,5.6982,0.62623,0.80391,0.10574,0.99986
ATP2B3,2.7453,4.9998,-0.14356,0.68279,0.086074,0.99945
RAPGEF1,3.13,6.281,0.82189,0.6563,0.11841,0.99995
NTN1,2.2728,4.0837,0.82115,0.66805,0.046785,0.99687
FEZF2,2.0744,3.4028,-1.509,0.62926,0.0,0.9886
FBXO32,1.5746,4.0879,0.78752,0.68449,0.046699,0.99692
PTBP2,3.2024,4.5913,0.17169,0.46763,0.070403,0.99883
EFNB2,1.8274,3.3982,-0.64494,0.63606,0.0,0.98845
CDK17,2.6354,5.0072,0.54907,0.55277,0.085862,0.99947
MAML3,0.90215,5.6807,1.1851,0.89942,0.10627,0.99984
THRB,2.5652,4.074,-1.4236,0.55386,0.046989,0.99676
MORC3,2.8899,5.6814,0.037402,0.63712,0.10625,0.99985
RAPH1,1.3862,5.6896,-0.93851,0.85097,0.106,0.99985
CREB1,2.9067,4.0713,0.90403,0.39688,0.047046,0.99673
IREB2,2.033,5.9834,-0.22098,0.74587,0.11318,0.99991
GDF6,0.9343,3.3948,-0.39369,0.83209,0.0,0.98833
OLFM1,3.4102,4.076,0.57965,0.44235,0.046946,0.99679
SLC25A14,2.4975,3.3911,0.61023,0.39402,0.0,0.98821
SLC16A2,2.3824,3.3931,0.88871,0.55504,0.0,0.98828
TRAF3,2.9892,4.5639,-1.0642,0.54303,0.071138,0.99869
MAST3,4.1363,5.9688,0.85748,0.60057,0.11362,0.99991
SPAST,1.2438,4.9749,-2.361,0.81126,0.0868,0.99939
USP32,3.2808,7.6509,2.0317,0.68226,0.14079,1.0
LRP8,2.5202,5.6679,1.4452,0.69705,0.10666,0.99983
GJC1,2.0732,3.3838,0.31275,0.60836,0.0,0.98795
GABBR1,4.8203,5.981,0.88671,0.42462,0.11325,0.99991
PPP1R8,2.9088,3.3827,-0.14124,0.42274,0.0,0.98791
BMP2,1.1385,3.385,-0.49696,0.79205,0.0,0.98799
P4HB,1.3065,4.0615,-1.026,0.78267,0.047252,0.99662
GDA,1.4639,4.5601,-0.15212,0.74073,0.071239,0.99867
IQSEC1,2.28,5.3392,-0.11159,0.75044,0.098024,0.99969
KPNA6,3.3399,4.9798,1.2565,0.46079,0.086658,0.9994
LHX2,2.2747,3.3887,-1.1688,0.58914,0.0,0.98812
NFIB,2.4743,4.5484,-1.381,0.5716,0.07156,0.99861
WIZ,2.3834,4.5559,0.31987,0.70944,0.071356,0.99865
ZBTB43,2.542,3.3759,0.42036,0.57318,0.0,0.98767
BMPR1B,0.27016,4.5528,-0.67915,0.95543,0.071438,0.99863
TTC17,1.3045,6.4928,-0.25821,0.85237,0.12481,0.99996
PSMA7,2.3414,3.3762,-1.0079,0.45879,0.0,0.98768
E2F1,2.0673,3.3767,0.87957,0.60244,0.0,0.9877
LIMK1,2.6281,4.9684,-0.16662,0.64302,0.086991,0.99937
APC2,0.75411,6.2374,-2.4311,0.93557,0.11972,0.99994
CSF1,0.51416,4.039,-0.96862,0.91789,0.047731,0.99634
VAV1,3.8612,6.2174,0.89548,0.52216,0.12033,0.99993
IGF2BP1,3.5171,4.9549,0.73168,0.47113,0.08739,0.99933
CDKL5,2.7357,4.9513,-0.49763,0.61506,0.087497,0.99932
MIER3,2.0729,4.5406,0.27096,0.65911,0.07177,0.99856
CCT2,1.4748,4.5351,0.072389,0.75942,0.071923,0.99853
SHROOM4,0.95131,5.3123,0.33025,0.88744,0.098842,0.99965
TBX21,1.3951,4.0405,0.78377,0.76895,0.0477,0.99636
HNRNPUL2,0.95608,5.6226,-3.0694,0.86704,0.10805,0.99979
CARD11,3.5439,6.4515,-1.3214,0.63706,0.12606,0.99995
SCHIP1,1.9049,3.3615,0.53733,0.52775,0.0,0.98715
RAD23B,1.7545,4.0358,-0.81416,0.65885,0.047801,0.9963
PRPF4,1.9934,4.9424,0.33257,0.68064,0.087762,0.9993
COL6A1,0.50101,6.4537,-1.4193,0.94597,0.12599,0.99995
DCLK1,4.4039,5.3041,1.5933,0.40626,0.09909,0.99964
STK40,1.4625,4.0312,1.1775,0.75742,0.047901,0.99624
FANCB,-0.041747,4.0368,0.42722,1.0069,0.047779,0.99631
SETD5,1.1326,6.6996,-0.68406,0.88525,0.13025,0.99997
HNRNPD,2.4525,4.0291,1.475,0.49236,0.047945,0.99621
TCERG1,3.3416,6.4653,-1.0366,0.61464,0.12564,0.99996
GNL1,2.4358,4.937,0.65009,0.63567,0.087921,0.99928
CPEB3,2.5588,4.5234,-0.44561,0.63775,0.072245,0.99846
PYGO1,-0.1089,3.3532,-0.54195,1.0203,0.0,0.98683
CUL3,4.7538,5.2842,-1.1021,0.34627,0.099704,0.9996
LZTS3,1.7513,4.0253,0.62673,0.76018,0.048027,0.99616
KIF5A,3.5984,6.4435,0.84997,0.58175,0.1263,0.99995
INO80D,2.7432,5.292,0.11886,0.67811,0.099462,0.99962
SAFB2,0.48273,5.6176,-0.46275,0.9419,0.1082,0.99979
NAA30,1.6105,3.3528,-0.58669,0.68518,0.0,0.98682
PCBP2,4.133,4.0263,-0.13404,0.2231,0.048006,0.99617
ZNF384,2.4396,4.5165,-1.4189,0.62673,0.072437,0.99842
LATS1,2.3127,5.9049,0.10369,0.73767,0.11558,0.99987
MAML2,0.44973,5.905,-0.75477,0.94898,0.11558,0.99987
CAMK1D,2.4852,4.0286,-0.2611,0.53894,0.047957,0.9962
TRIM46,3.247,4.9278,1.2087,0.59153,0.088197,0.99925
PIK3R1,2.7206,5.6106,1.5569,0.61609,0.10842,0.99978
IL6ST,1.0583,5.6137,-0.090083,0.86303,0.10832,0.99978
ARHGAP6,1.8229,4.5219,0.63587,0.73764,0.072286,0.99845
REL,1.7553,4.5064,0.40018,0.72938,0.072716,0.99836
MAGED1,2.3263,4.5003,1.3402,0.63891,0.072887,0.99831
GABRA2,3.1277,4.0122,0.49289,0.4205,0.048314,0.99598
JAKMIP1,2.8875,5.895,1.1987,0.64544,0.11589,0.99986
PLXNA4,3.7998,7.3243,-2.8875,0.68478,0.14155,0.99999
CACNA2D2,2.9999,6.8921,-0.37518,0.66617,0.1352,0.99997
SNAP25,2.9553,3.3453,1.9278,0.2742,0.0,0.98653
CCND2,2.1326,3.3465,0.77978,0.5384,0.0,0.98658
FAM168A,1.6641,3.3507,0.14302,0.61176,0.0,0.98674
PATZ1,3.1076,4.0123,-1.5862,0.57535,0.04831,0.99598
DENND1A,1.2611,5.5969,-1.3655,0.85243,0.10885,0.99976
KDM7A,2.4635,5.8894,0.17466,0.68585,0.11606,0.99986
SOX30,0.77579,4.4904,1.113,0.89384,0.073166,0.99825
WDTC1,3.8083,4.8991,0.63784,0.48418,0.089065,0.99915
THOC1,2.5777,5.2555,0.60084,0.59027,0.1006,0.99955
FMNL1,2.9981,5.8808,1.691,0.6602,0.11633,0.99985
MRTO4,-0.036878,3.3391,-0.089376,1.0088,0.0,0.98629
STK39,2.1111,4.9018,-0.08517,0.63311,0.088981,0.99916
IPO9,3.2772,6.1483,1.0044,0.61629,0.12245,0.9999
HERPUD1,0.80041,4.0013,0.41662,0.8483,0.048552,0.99582
REEP1,1.3549,3.3398,-0.33123,0.65501,0.0,0.98632
GPS1,1.8625,4.4826,-3.2984,0.71159,0.073386,0.99819
PLRG1,2.4498,4.8869,1.7334,0.59018,0.089437,0.99911
UBE2K,3.2324,3.337,1.0888,0.11388,0.0,0.98621
PSMA6,2.4079,3.3366,-0.6632,0.40654,0.0,0.98619
CNOT6L,3.6129,4.4851,0.72061,0.40608,0.073314,0.99821
AGAP1,1.2874,5.8638,-1.6408,0.8479,0.11687,0.99984
CSNK1D,2.7025,3.9974,-2.0938,0.52672,0.048639,0.99577
CELF4,3.1615,4.4798,1.0486,0.49863,0.073465,0.99817
RDH10,3.0283,3.3303,1.4671,0.37811,0.0,0.98594
MAP2K7,2.8006,3.9814,-2.3607,0.52666,0.048993,0.99552
GABPA,3.1239,4.4718,-0.66445,0.43933,0.07369,0.99812
KIF13A,2.0467,7.863,0.30833,0.8133,0.15038,0.99999
FAM169A,1.4156,4.8787,-0.047407,0.78482,0.089687,0.99907
ACTB,5.0206,3.3229,-7.4393,0.061744,0.0,0.98564
NUP205,1.3537,8.3734,-0.44246,0.8841,0.15675,1.0
GNL3L,1.3581,3.9848,0.11827,0.75742,0.048917,0.99558
PABPC4,2.9204,4.8728,-1.6716,0.58737,0.08987,0.99905
RALGAPA1,3.5271,8.0275,0.76674,0.69154,0.15297,0.99999
FADS2,3.1919,4.4768,0.64098,0.4471,0.073548,0.99815
FBXW7,3.7111,5.2317,-0.033487,0.45595,0.10134,0.99949
TMEM132D,0.67934,4.8769,-0.92054,0.92506,0.089742,0.99907
ATP11C,1.9874,5.5503,1.2954,0.71486,0.11032,0.9997
CASKIN2,0.73723,5.553,-0.97287,0.92365,0.11023,0.99971
NUDT21,3.4732,3.3258,-1.3567,0.12125,0.0,0.98576
BACH2,2.2959,4.4603,0.0067468,0.7129,0.07402,0.99803
PTPRM,2.8441,7.2458,-0.56634,0.72536,0.14386,0.99998
HMBOX1,2.4616,4.4627,1.5762,0.54836,0.073949,0.99805
SOCS7,2.1012,4.4657,-0.13302,0.66554,0.073866,0.99807
HNRNPA3,3.636,3.9751,-1.3742,0.29721,0.049133,0.99543
MAGED2,2.3381,3.972,0.53794,0.56346,0.049203,0.99538
PTGES3,1.2685,3.3162,0.19364,0.60377,0.0,0.98536
SRSF11,2.4407,4.4644,0.02187,0.58381,0.073903,0.99806
LSM14B,1.6895,3.9675,-0.18394,0.69359,0.049305,0.9953
NCSTN,1.4311,5.203,-0.18212,0.79356,0.10226,0.99942
AIFM1,2.4941,4.4501,0.56874,0.5454,0.074313,0.99795
ZNF704,2.0086,3.9685,-0.26475,0.64284,0.049282,0.99532
TTBK1,2.6336,5.5263,0.16875,0.73103,0.11109,0.99967
PBX2,1.8376,3.9687,2.5142,0.67432,0.049279,0.99532
YIPF5,0.67755,3.3144,1.2529,0.83534,0.0,0.98529
KBTBD2,2.6898,4.4498,-0.12833,0.58452,0.074319,0.99795
SLC30A1,2.2037,3.3153,0.65318,0.63477,0.0,0.98532
ZNF827,1.9033,5.5149,-0.21891,0.78497,0.11145,0.99965
PICALM,1.4526,4.8512,-0.66807,0.77584,0.090537,0.99896
PRKG1,2.982,5.1871,-0.93063,0.56555,0.10277,0.99938
YWHAE,2.8339,3.3028,-0.42006,0.33783,0.0,0.98479
CRTC2,0.76926,4.8396,-0.36229,0.89166,0.0909,0.99891
PSMD6,1.2563,3.9599,-1.0796,0.75879,0.049475,0.99518
SMC2,1.0589,6.3156,-0.48608,0.87725,0.13028,0.9999
THBS1,2.7177,6.0646,1.6974,0.71526,0.1251,0.99985
MAN1A2,2.5642,4.8421,0.10391,0.61153,0.090821,0.99892
GMEB2,2.202,3.9462,-0.16359,0.66048,0.049787,0.99495
SCFD1,2.0497,5.4977,-0.14852,0.68235,0.11201,0.99962
TNFRSF1A,2.1013,3.9437,0.25018,0.6378,0.049846,0.9949
SSBP2,2.4529,4.4279,0.28546,0.50466,0.074954,0.99777
CDYL,2.3517,3.9515,-0.57721,0.63243,0.049666,0.99504
REV1,1.6026,6.3021,0.11044,0.82325,0.13071,0.99989
POLD3,0.085714,4.4272,0.48491,0.98429,0.074976,0.99776
ESRP1,2.2654,5.1741,0.09646,0.6673,0.10319,0.99934
FUS,2.2053,5.1629,-2.1323,0.65821,0.10355,0.9993
RARG,3.1331,3.9369,0.29671,0.46596,0.050001,0.99478
EPB41L4B,1.2503,5.76,1.2644,0.83794,0.1202,0.99972
NDC1,1.0942,5.1683,-0.8748,0.83479,0.10338,0.99932
MSI2,2.286,3.9365,-0.058621,0.55225,0.050011,0.99478
RBM14-RBM4,1.9812,3.2932,-1.3021,0.64405,0.0,0.98438
ZMAT2,2.625,3.2887,0.012266,0.30285,0.0,0.98418
AZIN1,1.8046,3.9404,-0.010118,0.6669,0.049921,0.99485
CRIM1,0.19444,5.7532,-2.8446,0.97767,0.12043,0.99971
PPP1R7,1.8584,3.9254,0.59211,0.64301,0.050265,0.99458
RNF40,2.701,6.2724,1.1841,0.69711,0.13166,0.99987
MTMR1,2.0202,4.4091,0.0058644,0.63122,0.075506,0.9976
PRPF39,2.6867,4.8081,-0.10858,0.58328,0.091894,0.99875
EVL,1.4811,4.4108,-0.60569,0.73815,0.075456,0.99761
HEXIM1,1.4083,3.2839,-1.8834,0.71733,0.0,0.98396
DLG4,4.933,5.4593,0.82288,0.36457,0.11327,0.99954
KANSL1,1.2277,5.754,-0.80612,0.86326,0.1204,0.99972
AMIGO1,2.8562,3.2872,1.5336,0.52356,0.0,0.98411
DAZL,0.43629,3.9207,-0.6349,0.90435,0.050375,0.99449
RPL3,1.5583,3.9164,-2.452,0.72093,0.050474,0.99441
CAMSAP1,2.1542,6.247,-0.67399,0.80331,0.13248,0.99985
MDGA2,1.6769,5.1372,0.82988,0.76419,0.1044,0.99922
TLE1,2.7371,5.139,-2.0692,0.64562,0.10434,0.99922
LMTK2,1.2855,5.9954,-0.43378,0.87786,0.12735,0.99978
HCN4,2.7466,4.7933,0.62935,0.70348,0.092366,0.99867
CHMP6,0.16838,3.2756,0.46622,0.95543,0.0,0.98358
ACTN2,1.2925,5.7332,0.32585,0.84197,0.12109,0.99968
HDAC7,2.8252,5.7373,-0.17582,0.6747,0.12095,0.99969
HELLS,2.9933,6.0056,-0.14537,0.59537,0.12701,0.99979
ENG,0.93455,4.7775,-0.25161,0.86682,0.092876,0.99858
SLMAP,1.7012,5.978,1.0027,0.76706,0.12792,0.99976
C6orf62,1.3484,3.2709,-1.7107,0.65801,0.0,0.98336
CACNA1B,4.5165,7.8472,-0.41631,0.64737,0.15813,0.99998
KHDRBS1,2.4159,3.9071,0.51538,0.55556,0.050693,0.99423
TRIB2,1.706,3.2737,-0.061674,0.66924,0.0,0.98349
VEZF1,2.9212,3.9075,-1.3849,0.51506,0.050684,0.99423
HERC1,4.9558,11.794,-0.58789,0.72334,0.18748,1.0
CCND3,1.3955,3.2732,0.07858,0.69367,0.0,0.98347
GSPT2,2.4902,3.2676,0.63729,0.54955,0.0,0.98321
TXLNA,1.5776,4.3799,0.88416,0.74794,0.076371,0.99731
MED15,2.5346,5.9649,-0.67772,0.67251,0.12835,0.99974
FBXL5,1.8477,4.7706,-0.16498,0.72357,0.093097,0.99854
PCSK2,3.5451,4.7702,-0.30096,0.49996,0.09311,0.99853
FOSL2,1.5958,3.2617,0.49481,0.68842,0.0,0.98293
CAMK2G,3.8036,5.1058,0.92319,0.42234,0.10544,0.9991
SH3GLB1,1.6282,3.899,1.0078,0.67086,0.050882,0.99407
SLC2A1,2.9256,3.9005,0.11607,0.52735,0.050848,0.9941
TAOK2,3.2101,5.973,-1.0851,0.67412,0.12809,0.99976
TAOK3,3.0342,5.966,0.76744,0.61999,0.12832,0.99975
TSHZ1,1.2926,4.3789,-1.2657,0.85682,0.076402,0.9973
FBXO33,0.89063,3.9043,-1.4494,0.84991,0.050759,0.99417
YTHDF1,1.5991,3.9056,-1.0944,0.75836,0.050729,0.9942
YWHAB,1.8933,3.2662,0.32375,0.54559,0.0,0.98314
TMEM259,1.2789,3.8999,-2.4833,0.81156,0.050861,0.99408
UBA2,2.6072,4.7671,0.54291,0.59085,0.093209,0.99851
RBPJ,3.5749,4.7699,-0.69409,0.39466,0.093119,0.99853
ITPK1,1.1749,3.8905,-0.64096,0.79809,0.051083,0.99389
RPS6KA5,2.1672,5.1026,0.093908,0.70728,0.10554,0.99909
SHH,2.9479,3.2544,-1.1475,0.45594,0.0,0.98258
PDLIM4,0.71455,3.2596,0.53013,0.86303,0.0,0.98283
SRSF1,3.9581,3.2566,-0.2541,0.13322,0.0,0.98268
FOXJ2,0.82487,4.7587,0.083737,0.87163,0.093484,0.99846
MEMO1,2.6367,3.8907,1.6298,0.41303,0.05108,0.9939
BCL9L,1.098,5.4003,-2.1004,0.89987,0.11525,0.99939
TOPORS,1.0509,5.0922,-1.2058,0.87455,0.10589,0.99904
IGBP1,1.3042,3.2578,-0.87235,0.6808,0.0,0.98274
LRCH2,1.9411,4.3627,1.235,0.63072,0.076889,0.99713
NOVA2,4.3497,3.2546,2.8784,0.25754,0.0,0.98259
SLC38A2,0.79703,4.3594,-0.80668,0.8618,0.07699,0.99709
DCHS1,2.4007,7.6405,1.4998,0.84608,0.15685,0.99997
SRGAP3,2.114,5.9354,-1.2555,0.77017,0.12934,0.9997
PHC1,1.9176,5.3974,-0.11546,0.75747,0.11534,0.99938
DDB1,4.8864,6.1876,-0.59314,0.46818,0.13443,0.99979
PCDH1,3.0791,4.7469,-0.11816,0.6814,0.09387,0.99838
SCAI,3.0105,5.3888,0.45592,0.53538,0.11564,0.99936
PPP4R1,2.0402,5.6764,1.0314,0.74624,0.12299,0.99958
PTK2,3.4369,6.6245,-0.37335,0.60305,0.14353,0.99987
PLAGL2,2.1051,3.2535,-0.28405,0.6584,0.0,0.98253
MEF2D,2.2512,4.3553,-0.31429,0.64873,0.077115,0.99705
RPL18A,1.3477,3.2483,-1.0154,0.66621,0.0,0.98228
TNFSF13B,2.1434,3.2413,0.38467,0.50503,0.0,0.98193
PIM3,0.92166,3.2411,-4.5434,0.81004,0.0,0.98192
GMPS,2.3686,4.7273,1.1226,0.64537,0.094515,0.99825
GRID1,1.6154,5.3743,-0.3694,0.81779,0.11613,0.99931
HNRNPL,3.5416,4.3383,-4.7214,0.4456,0.077633,0.99685
NONO,3.5885,3.8719,0.32086,0.271,0.051527,0.9935
ELL2,1.5461,4.7271,-0.95959,0.76453,0.094522,0.99824
DNAJC11,1.8474,5.0662,-0.37905,0.71455,0.10677,0.99893
GRM7,2.0548,5.0736,-1.3909,0.75021,0.10652,0.99896
TMEM131,2.0812,7.4032,0.18167,0.80904,0.15618,0.99995
LONP1,0.42807,5.3713,-4.8019,0.95221,0.11623,0.9993
SRC,3.8709,4.3438,0.86621,0.39627,0.077465,0.99691
HSPA4,2.0572,5.6577,-0.48575,0.72122,0.12362,0.99954
KIAA1211L,1.8814,4.3461,1.6832,0.76225,0.077392,0.99694
SPI1,2.3528,3.244,-0.21868,0.47377,0.0,0.98206
TRIM27,3.7029,4.3387,-0.17322,0.39327,0.077621,0.99685
CEPT1,2.5011,3.8727,0.49625,0.53292,0.051509,0.99351
RPL19,2.3898,3.242,-0.60679,0.4246,0.0,0.98197
EPS15L1,1.9019,5.8977,0.7457,0.77001,0.13062,0.99964
KPNA1,3.202,4.7181,1.1302,0.46383,0.094819,0.99818
CACNA2D1,3.4906,6.8137,1.0848,0.5888,0.14777,0.99989
STK11,1.5969,3.8676,-2.899,0.73043,0.051631,0.9934
GABRD,2.1673,3.8697,-2.2294,0.64398,0.051581,0.99345
EIF5B,2.6223,6.3808,-0.25882,0.70014,0.14029,0.99981
UHRF2,3.3209,5.3666,-2.4394,0.5545,0.11639,0.99928
CELSR3,4.0766,8.5406,2.0126,0.74827,0.17022,0.99998
BRD1,2.7601,5.6373,-2.3392,0.70801,0.12432,0.99949
KLF7,2.3041,3.2383,-1.0126,0.53021,0.0,0.98178
RAB11FIP3,1.2666,4.721,1.5377,0.81986,0.094724,0.9982
RABL6,-0.1161,4.7172,-0.80547,1.0151,0.09485,0.99817
GRAMD1B,3.2309,5.3675,-0.014252,0.56637,0.11636,0.99929
PUF60,4.4358,4.3314,-2.2813,0.32478,0.077845,0.99677
FBL,1.1955,3.8581,0.44907,0.76706,0.051861,0.99319
TBX2,1.5379,3.8626,1.1094,0.77544,0.051753,0.99329
ZRANB1,3.0784,5.051,-0.75711,0.56354,0.10729,0.99885
ATP2A2,4.8777,5.6228,-0.12727,0.42768,0.12482,0.99945
FLT1,1.4548,6.5745,-0.075182,0.84753,0.14517,0.99983
ACTL6A,2.9398,4.3223,0.28364,0.46318,0.078124,0.99665
HERC4,4.3093,5.8817,1.586,0.4767,0.13116,0.99961
AKAP4,0.78353,3.8597,-0.2037,0.87451,0.051823,0.99323
JADE1,3.1809,5.0503,1.0331,0.58988,0.10731,0.99885
TRA2B,3.4968,3.8551,0.03825,0.30194,0.051934,0.99312
BCAR1,-0.59449,4.7058,-2.3882,1.0701,0.09523,0.99808
ADD3,0.3296,5.0423,-0.10292,0.95249,0.10759,0.9988
PSMC6,3.323,4.3196,0.15673,0.37713,0.078207,0.99662
POLR1B,2.9739,5.6259,-0.35252,0.66754,0.12471,0.99946
PRPF40B,1.0695,5.8947,-0.59856,0.86996,0.13072,0.99963
ASTN2,1.1583,6.1231,-1.3852,0.87578,0.13659,0.99971
GRIA2,4.5573,5.3341,0.56761,0.41288,0.11752,0.99916
LNPEP,1.4431,5.8669,0.70582,0.82278,0.13167,0.99957
RLIM,2.4248,3.8504,-1.8374,0.56154,0.052048,0.99301
RASIP1,2.8182,4.6987,1.716,0.63416,0.095466,0.99803
NAV2,1.3914,7.8655,-1.0738,0.89766,0.16465,0.99995
ILF2,3.4039,4.3105,0.19037,0.34998,0.078489,0.9965
NUS1,0.87623,3.2265,-0.13619,0.80314,0.0,0.98117
NPTN,2.6779,3.8518,1.3027,0.51719,0.052015,0.99304
WT1,1.7806,4.3089,-0.033387,0.70355,0.07854,0.99648
